,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,save,14,BJ,1660789437,87,8.0425,2.486,294.7,1.25
273,jiayuguan,100,CN,1660789437,55,39.8167,98.3,292.16,5.41
274,kahului,20,US,1660789438,55,20.8947,-156.47,305.16,9.77
275,mawlaik,100,MM,1660789438,91,23.6333,94.4167,300.64,0.27
276,odienne,75,CI,1660789438,96,9.51,-7.5692,293.54,1.45
277,komsomolskiy,0,UZ,1660789439,35,40.4272,71.7189,297.55,2.06
278,changji,0,CN,1660789439,27,44.0167,87.3167,296.59,1.0
279,punta alta,100,PH,1660789361,69,8.9897,125.34,302.21,0.55
280,goma,100,CD,1660789439,83,-1.6792,29.2228,290.56,0.94
281,okhotsk,87,RU,1660789440,79,59.3833,143.3,289.78,5.39
282,krasnoselkup,79,RU,1660789440,62,65.7,82.4667,286.84,7.07
283,mao,20,ES,1660789441,78,39.8885,4.2658,299.46,6.69
284,petropavlovsk-kamchatskiy,40,RU,1660789441,41,53.0452,158.6483,296.48,7.0
285,muros,5,ES,1660789441,84,42.7762,-9.0603,288.06,4.34
286,sur,93,OM,1660789442,56,22.5667,59.5289,304.95,2.23
287,svetlyy,92,RU,1660789442,74,54.675,20.1347,293.13,2.95
288,berlevag,100,NO,1660789442,93,70.8578,29.0864,282.15,9.26
289,kodiak,100,US,1660789443,67,57.79,-152.4072,288.88,4.12
290,baykit,87,RU,1660789443,63,61.67,96.37,288.98,1.48
291,kearney,0,US,1660789277,78,40.6995,-99.0815,293.85,2.57
292,necochea,19,AR,1660789444,79,-38.5473,-58.7368,277.49,5.39
293,monte alegre,0,FR,1660789444,83,42.4687,9.3916,295.85,2.57
294,half moon bay,44,LR,1660789445,82,6.3807,-10.6953,298.09,2.84
295,gambiran,55,ID,1660789445,63,-6.7988,111.4951,300.96,3.45
296,ilulissat,100,GL,1660789445,100,69.2167,-51.1,277.16,3.09
297,ust-ilimsk,100,RU,1660789446,95,58.0006,102.6619,282.41,4.03
298,magaria,100,NE,1660789446,81,12.9983,8.9099,297.61,4.93
299,tuatapere,100,NZ,1660789446,93,-46.1333,167.6833,284.59,0.78
300,muravlenko,87,RU,1660789447,87,63.7898,74.523,281.41,3.13
301,kibala,100,TD,1660789447,98,9.1104,18.3463,293.9,1.52
302,chilliwack,0,CA,1660789447,50,49.1747,-121.9443,305.18,0.51
303,upernavik,100,GL,1660789448,96,72.7868,-56.1549,278.01,3.08
304,magugu,6,TZ,1660789448,69,-4.0167,35.7667,287.89,1.77
305,loukhi,63,RU,1660789342,78,66.0764,33.0381,291.85,4.67
306,saskylakh,100,RU,1660789449,86,71.9167,114.0833,279.13,6.35
307,coihaique,0,CL,1660789449,75,-45.5752,-72.0662,275.49,0.51
308,guerrero negro,100,MX,1660789450,96,17.6667,-100.0,292.68,1.71
309,iquitos,20,PE,1660789450,89,-3.7481,-73.2472,299.17,1.54
310,lakatoro,74,VU,1660789450,71,-16.0999,167.4164,301.33,2.83
311,trairi,29,BR,1660789375,81,-3.2778,-39.2689,298.81,6.22
312,lebu,74,CL,1660789451,79,-37.6167,-73.65,281.27,3.46
313,hovd,33,MN,1660789451,16,48.0056,91.6419,288.5,1.51
314,pandan,100,PH,1660789452,85,14.0453,124.1694,299.51,2.73
315,mayskiy,37,RU,1660789452,62,47.6931,40.1025,292.82,2.21
316,hambantota,20,LK,1660789452,89,6.1241,81.1185,300.34,2.57
317,vardo,100,NO,1660789453,93,70.3705,31.1107,283.14,8.23
318,anadyr,40,RU,1660789453,58,64.75,177.4833,286.43,4.0
319,tabuk,100,PH,1660789453,95,17.4189,121.4443,297.08,1.58
320,makungu,2,TZ,1660789454,94,-8.7333,35.2833,285.33,1.32
321,mezen,52,RU,1660789454,85,65.8522,44.24,290.17,2.66
322,harper,4,LR,1660789454,79,4.375,-7.7169,296.63,3.02
323,garowe,54,SO,1660789455,70,8.4054,48.4845,296.49,10.5
324,sao jose da coroa grande,15,IN,1660789408,89,20.5113,76.2129,294.95,4.63
325,lander,0,US,1660789454,25,42.833,-108.7307,302.37,3.09
326,labuhan,21,ID,1660789455,67,-6.8844,112.2051,300.78,2.31
327,marienburg,100,PL,1660789456,81,54.0359,19.0266,294.33,1.67
328,gerash,7,IR,1660789456,29,27.6652,54.1371,297.23,1.9
329,arlit,7,NE,1660789456,39,18.7369,7.3853,305.01,2.09
330,palotina,100,BR,1660789456,93,-24.2839,-53.84,292.19,5.56
331,nizhniy tsasuchey,53,RU,1660789457,85,45.3926,39.2364,296.16,0.83
332,gorin,0,RU,1660789457,39,51.1983,136.6669,301.99,4.35
333,saint-francois,0,FR,1660789458,94,46.4154,3.9054,289.84,1.03
334,ginir,50,ET,1660789458,78,7.1333,40.7,287.04,3.56
335,fonte boa,0,IT,1660789458,90,45.7839,11.8746,295.85,2.26
336,sayyan,100,YE,1660789459,76,15.1718,44.3244,288.2,1.63
337,mgachi,0,RU,1660789459,52,51.05,142.2667,298.85,6.54
338,birao,71,CF,1660789459,98,10.2849,22.7882,294.29,1.97
339,batagay-alyta,95,RU,1660789460,65,67.8006,130.4114,287.63,1.9
340,tabas,0,IR,1660789460,16,33.5959,56.9244,298.8,1.5
341,ponta do sol,93,PT,1660789460,65,38.7333,-28.2667,292.4,2.15
342,belaya gora,6,UA,1660789461,93,49.029,25.7706,289.64,3.36
343,lompoc,40,US,1660789461,90,34.6391,-120.4579,300.81,3.6
344,san cristobal,100,ML,1660789462,88,13.3034,-4.8956,296.84,4.02
345,tual,100,ID,1660789462,75,-5.6667,132.75,299.53,9.53
346,liku,100,ID,1660789462,66,-0.7275,119.8922,302.12,0.97
347,westport,100,US,1660789408,87,41.1415,-73.3579,294.14,2.06
348,pouembout,25,NC,1660789463,68,-21.1333,164.9,294.24,3.53
349,baruun-urt,100,MN,1660789463,42,46.6806,113.2792,290.11,6.77
350,chahal,90,GT,1660789463,98,15.75,-89.5667,295.07,0.46
351,mortka,100,RU,1660789464,71,59.3322,66.0214,280.53,3.02
352,ajdabiya,0,LY,1660789464,67,30.7554,20.2263,299.22,3.39
353,manggar,32,ID,1660789465,69,-2.8833,108.2667,302.21,7.07
354,shipitsyno,100,RU,1660789465,73,61.2806,46.5208,292.19,0.54
355,talnakh,19,RU,1660789465,54,69.4865,88.3972,283.82,7.12
356,miri,20,MY,1660789466,79,4.4148,114.0089,303.23,1.54
357,pangody,15,RU,1660789466,83,65.85,74.4859,283.31,6.62
358,crotone,0,IT,1660789381,62,39.0851,17.1178,301.03,1.54
359,itaituba,39,BR,1660789466,51,-4.2761,-55.9836,298.83,0.65
360,kushima,26,JP,1660789467,60,31.4583,131.2333,305.56,3.34
361,karaton,23,ID,1660789467,74,-6.3424,106.1045,300.44,0.41
362,nisporeni,16,MD,1660789467,94,47.0814,28.1783,292.27,2.98
363,maniitsoq,10,GL,1660789468,86,65.4167,-52.9,278.48,1.74
364,brufut,75,GM,1660789468,94,13.3814,-16.7518,297.2,0.0
365,vostok,98,RU,1660789468,45,46.4856,135.8833,297.8,2.79
366,saint-leu,0,RE,1660789469,71,-21.15,55.2833,291.63,0.6
367,jimo,0,CN,1660789470,66,36.3897,120.4622,303.03,5.0
368,kununurra,3,AU,1660789470,8,-15.7667,128.7333,304.14,4.12
369,beverly hills,100,US,1660789470,74,42.5584,-70.8801,293.3,2.57
370,kedrovyy,100,RU,1660789471,92,56.1667,91.8167,283.38,2.5
371,ilfracombe,100,GB,1660789471,94,51.2093,-4.1134,289.62,0.89
372,mukhen,10,RU,1660789471,45,48.1,136.1,300.33,4.02
373,qui nhon,48,BR,1660789472,95,-10.9706,-37.5959,291.97,1.26
374,anito,100,PH,1660789472,67,12.4497,125.2886,302.71,2.72
375,opuwo,6,NA,1660789472,32,-18.0607,13.84,288.63,2.47
376,lubango,0,AO,1660789473,25,-14.9172,13.4925,287.92,2.54
377,inirida,63,CO,1660789473,96,3.8653,-67.9239,296.29,1.05
378,biak,88,ID,1660789473,75,-0.9131,122.8766,299.78,2.14
379,dryden,0,CA,1660789474,83,49.7833,-92.7503,295.31,3.09
380,mchinji,0,MW,1660789474,65,-13.7984,32.8802,286.85,1.19
381,zabol,66,AF,1660789474,63,32.25,67.25,294.4,6.15
382,richards bay,20,US,1660789475,78,46.8361,-95.9123,296.17,0.0
383,yumen,66,CN,1660789475,54,40.2833,97.2,293.63,8.62
384,lulea,15,SE,1660789475,93,65.5842,22.1547,284.19,3.6
385,xining,100,CN,1660789475,86,36.6167,101.7667,292.31,0.7
386,novikovo,15,RU,1660789476,52,51.1537,37.8879,292.99,5.05
387,komsomolets,100,KZ,1660789476,80,53.7453,62.0708,285.17,1.86
388,sarande,0,AL,1660789477,55,39.8756,20.0053,300.84,2.78
389,fukue,75,JP,1660789477,94,32.6881,128.8419,297.35,2.57
390,palmer,100,US,1660789477,80,42.1584,-72.3287,292.38,2.06
391,awjilah,0,LY,1660789478,36,29.1081,21.2869,300.87,4.09
392,namatanai,61,PG,1660789478,69,-3.6667,152.4333,302.01,4.43
393,sassandra,5,CI,1660789478,86,4.95,-6.0833,294.87,1.63
394,humaita,4,BR,1660789479,76,-7.5061,-63.0208,297.71,1.24
395,solnechnyy,0,RU,1660789479,43,50.7214,136.6319,299.67,4.96
396,nadym,46,RU,1660789480,88,65.5333,72.5167,281.78,7.7
397,balikpapan,40,ID,1660789480,100,-1.2675,116.8289,295.7,2.06
398,marawi,100,PH,1660789480,72,7.9986,124.2928,298.13,1.39
399,bedong,99,MY,1660789481,83,5.7274,100.5088,303.13,0.62
400,novoagansk,100,RU,1660789481,86,61.9449,76.6625,281.21,3.04
401,taboga,16,IT,1660789481,94,46.2663,13.1092,295.08,2.35
402,naze,100,JP,1660789482,77,28.3667,129.4833,301.66,5.47
403,les herbiers,94,ES,1660789482,97,42.8108,0.7105,287.29,0.5
404,killybegs,100,IE,1660789483,91,54.6333,-8.45,286.63,4.64
405,rio tinto,0,GR,1660789483,76,38.3,21.7833,298.01,1.43
406,salina,0,US,1660789483,57,38.8403,-97.6114,299.22,2.57
407,itamaraca,12,BR,1660789484,77,-7.7478,-34.8256,299.18,5.21
408,port said,17,CD,1660789370,48,-7.0349,29.7638,295.91,1.27
409,kidal,77,ML,1660789484,57,18.4411,1.4078,301.16,5.87
410,ossora,100,RU,1660789484,90,59.2353,163.0719,282.42,7.71
411,tadine,100,NC,1660789485,83,-21.55,167.8833,291.74,4.73
412,tessalit,57,ML,1660789485,50,20.1986,1.0114,302.88,6.27
413,clyde river,6,US,1660789441,80,41.3042,-82.9752,294.03,0.59
414,mityana,100,UG,1660789485,99,0.4175,32.0228,289.56,0.46
415,santa maria,100,PH,1660789486,92,17.486,120.4348,297.74,2.44
416,kiama,100,AU,1660789486,63,-34.6833,150.8667,291.25,1.34
417,gat,0,IL,1660789486,100,31.61,34.7642,296.93,0.51
418,karratha,14,AU,1660789487,31,-20.7377,116.8463,296.98,6.26
419,virginia beach,20,US,1660789325,91,37.5481,-77.4467,293.85,2.57
420,fort nelson,89,NL,1660789290,89,52.6517,6.3861,291.58,2.16
421,peterhead,100,GB,1660789487,74,57.5058,-1.7981,283.4,8.08
422,fujin,8,CN,1660789488,48,47.26,132.0322,300.66,3.48
423,topeka,0,US,1660789440,76,39.0483,-95.678,296.98,0.0
424,kristiinankaupunki,100,FI,1660789488,95,62.2743,21.376,290.62,0.52
425,kautokeino,100,NO,1660789489,88,69.0125,23.0412,280.61,6.65
426,tarko-sale,10,RU,1660789489,84,64.9225,77.785,283.68,4.08
427,usinsk,23,RU,1660789490,64,65.9939,57.5281,281.82,2.73
428,lavrentiya,100,RU,1660789490,70,65.5833,-171.0,278.38,5.81
429,kalmunai,87,LK,1660789490,74,7.4167,81.8167,300.3,1.45
430,biltine,100,TD,1660789491,91,14.5333,20.9167,295.56,5.93
431,chino valley,20,US,1660789204,37,34.0122,-117.6889,309.29,5.66
432,tigzirt,100,DZ,1660789491,62,36.8886,4.1198,298.12,4.65
433,ahipara,100,NZ,1660789491,94,-35.1667,173.1667,290.9,10.54
434,moshkovo,94,RU,1660789492,81,55.3053,83.6104,282.18,1.28
435,bandarbeyla,90,SO,1660789492,76,9.4942,50.8122,297.78,11.45
436,sioux lookout,0,US,1660789492,83,42.7333,-96.2336,296.76,2.57
437,bolivar,92,US,1660789493,84,37.6145,-93.4105,295.34,2.63
438,vila,8,PT,1660789405,81,42.0304,-8.1588,283.64,2.56
439,katobu,92,ID,1660789493,71,-4.9408,122.5276,300.34,2.63
440,saravan,18,AM,1660789494,34,39.7196,45.6483,291.82,3.04
441,kanigoro,53,ID,1660789494,70,-8.13,112.219,299.97,5.91
442,mondlo,59,ZA,1660789494,26,-27.983,30.7177,287.64,4.27
443,bose,84,IT,1660789495,95,45.4612,8.0137,291.64,0.79
444,jumla,48,NP,1660788904,80,29.2747,82.1838,292.3,0.53
445,durango,100,MX,1660789365,84,24.8333,-104.8333,291.1,0.64
446,nalut,55,LY,1660789495,18,30.3333,10.85,305.08,5.41
447,minudasht,40,IR,1660789495,83,37.2289,55.3747,297.91,0.0
448,pangkalanbuun,41,ID,1660789496,65,-2.6833,111.6167,302.53,2.94
449,neepawa,100,CA,1660789496,82,50.2289,-99.4664,296.37,3.24
450,bria,100,CF,1660789497,99,6.5423,21.9863,292.9,0.75
451,eyl,55,SO,1660789497,76,7.9803,49.8164,297.84,7.66
452,waingapu,67,ID,1660789497,54,-9.6567,120.2641,302.29,6.7
453,billings,0,US,1660789497,29,45.7833,-108.5007,303.31,1.54
454,paso de los toros,40,BO,1660789498,66,-14.4333,-67.5167,298.5,1.05
455,poronaysk,0,RU,1660789498,65,49.2167,143.1167,297.71,4.28
456,kamina,46,CD,1660789499,38,-8.7386,24.9906,289.35,1.12
457,jalu,0,LY,1660789499,38,29.0331,21.5482,300.96,3.43
458,vincennes,0,FR,1660789499,92,48.85,2.4333,291.98,3.09
459,yulara,0,AU,1660789500,36,-25.2406,130.9889,296.57,7.14
460,essau,97,GM,1660789500,86,13.4839,-16.5347,297.24,4.65
461,bontang,16,ID,1660789500,73,0.1333,117.5,301.19,2.3
462,margate,12,GB,1660789501,92,51.3813,1.3862,291.31,0.89
463,kalach-na-donu,67,RU,1660789449,47,48.691,43.5264,297.85,2.63
464,maragogi,46,BR,1660789501,84,-9.0122,-35.2225,296.38,6.64
465,vao,100,NC,1660789502,89,-22.6667,167.4833,289.66,4.39
466,dalvik,88,IS,1660789502,80,65.9702,-18.5286,282.11,2.74
467,payo,24,ID,1660789502,69,-3.7508,103.6372,301.23,1.24
468,makokou,100,GA,1660789503,89,0.5738,12.8642,293.93,1.33
469,laohekou,96,CN,1660789503,56,32.3858,111.6678,307.59,0.67
470,san rafael,100,ML,1660789462,88,13.3034,-4.8956,296.84,4.02
471,isparta,0,TR,1660789504,48,38.0,31.0,293.08,2.93
472,hesla,100,IN,1660789504,75,24.0667,85.8833,300.71,3.12
473,livingstone,10,ZM,1660789504,50,-17.8419,25.8543,288.48,1.4
474,agadez,0,NE,1660789505,15,19.75,10.25,303.42,3.94
475,rincon,75,US,1660789505,78,32.296,-81.2354,299.74,4.12
476,taoudenni,70,ML,1660789505,40,22.6783,-3.9836,306.02,6.1
477,shelburne,100,CA,1660789291,83,44.0787,-80.2041,290.4,2.01
478,verkhnyaya inta,0,RU,1660789506,83,60.9844,40.2072,287.12,1.89
479,khandyga,96,RU,1660789506,78,62.6667,135.6,288.39,1.65
480,faya,59,SA,1660789507,75,18.3851,42.4509,291.21,2.2
481,san ramon,100,ML,1660789462,88,13.3034,-4.8956,296.84,4.02
482,kotka,100,FI,1660789507,89,60.4664,26.9458,292.74,1.41
483,kuytun,100,RU,1660789507,96,54.3419,101.5036,280.7,5.1
484,yarada,75,IN,1660789508,84,17.65,83.2667,302.33,1.03
485,boden,24,SE,1660789508,92,65.8252,21.6886,284.15,1.76
486,tuy hoa,100,PH,1660789508,90,14.0183,120.7296,297.98,1.77
487,port hardy,17,CD,1660789368,48,-7.0349,29.7638,295.91,1.27
488,inhambane,5,MZ,1660789509,81,-23.865,35.3833,291.21,5.68
489,deputatskiy,100,RU,1660789509,67,69.3,139.9,282.91,2.57
490,davila,100,PH,1660789510,84,18.4726,120.5763,300.14,5.24
491,mollendo,80,PE,1660789510,85,-17.0231,-72.0147,288.08,4.32
492,grajau,0,BR,1660789511,46,-5.8194,-46.1386,297.25,1.8
493,balod,37,IN,1660789511,83,20.73,81.2047,298.84,4.24
494,machilipatnam,100,IN,1660789511,76,16.1667,81.1333,301.55,4.28
495,uthal,100,PK,1660789512,88,25.8072,66.6219,299.84,1.96
496,portland,75,US,1660789215,43,45.5234,-122.6762,308.46,3.09
497,alofi,40,NU,1660789512,47,-19.0595,-169.9187,298.09,10.8
498,diamantino,12,BR,1660789513,47,-14.4086,-56.4461,298.92,2.27
499,aksum,100,ET,1660789513,88,14.1245,38.7244,286.7,0.27
500,navirai,93,BR,1660789513,86,-23.065,-54.1906,293.59,5.0
501,cayenne,75,GF,1660789514,89,4.9333,-52.3333,299.17,0.51
502,palizada,100,MX,1660789514,72,18.25,-92.0833,301.17,2.56
503,sabancuy,39,MX,1660789515,77,18.9667,-91.1833,301.19,5.27
504,fairbanks,40,US,1660789251,44,64.8378,-147.7164,296.34,3.09
505,timra,100,SE,1660789515,82,62.487,17.3257,284.97,3.6
506,boshnyakovo,0,RU,1660789515,70,49.6333,142.1667,295.04,6.34
507,thinadhoo,44,MV,1660789516,75,0.5333,72.9333,300.77,4.01
508,kaeo,100,NZ,1660789516,97,-35.1,173.7833,291.11,9.66
509,nenjiang,36,CN,1660789517,61,49.1833,125.2167,295.57,4.77
510,matamoros,75,MX,1660789517,42,25.5333,-103.25,304.21,0.0
511,smithers,20,CA,1660789517,53,54.7804,-127.1743,298.33,1.54
512,bintulu,20,MY,1660789518,89,3.1667,113.0333,301.38,0.51
513,mae sai,100,CN,1660789518,60,34.8244,108.9303,303.03,2.89
514,manitouwadge,100,CA,1660789518,79,49.1215,-85.8403,288.16,2.11
515,liseleje,92,DK,1660789519,89,56.0053,11.9483,292.29,3.21
516,atar,53,MR,1660789519,38,20.5169,-13.0499,307.26,2.6
517,matara,85,LK,1660789519,81,5.9485,80.5353,299.37,4.28
518,changde,11,CN,1660789520,54,29.0464,111.6783,307.74,2.79
519,nouakchott,36,MR,1660789520,81,18.0858,-15.9785,301.11,7.02
520,panara,10,IN,1660789520,91,22.0667,78.55,295.08,3.71
521,hushitai,99,CN,1660789521,72,41.9322,123.5114,301.1,6.29
522,urusha,30,RU,1660789521,55,54.05,122.9,291.74,2.65
523,mackay,5,AU,1660789522,61,-21.15,149.2,297.42,2.94
524,at-bashi,9,KG,1660789522,28,41.1702,75.8106,290.13,0.35
525,dickinson,0,US,1660789522,81,29.4608,-95.0513,304.33,5.14
526,gornoye loo,17,UA,1660789523,75,44.4667,34.1333,294.43,2.68
527,sakakah,6,SA,1660789523,23,29.9697,40.2064,305.91,1.37
528,tateyama,75,JP,1660789523,89,34.9833,139.8667,300.11,7.72
529,melfort,100,CA,1660789524,73,52.8667,-104.6177,294.22,2.06
530,pinega,8,RU,1660789524,87,64.7001,43.3936,290.13,2.29
531,les cayes,94,ES,1660789524,97,42.8108,0.7105,287.29,0.5
532,sokolo,85,ML,1660789525,77,14.7328,-6.1219,298.39,3.71
533,sterling,20,US,1660789525,85,39.0062,-77.4286,293.93,2.24
534,erdemli,8,TR,1660789525,79,36.605,34.3084,299.54,0.84
535,kefamenanu,73,ID,1660789526,43,-9.4467,124.4781,301.32,4.63
536,plettenberg bay,79,DE,1660789526,93,51.2167,7.8833,289.33,1.43
537,diffa,88,NE,1660789526,72,13.3154,12.6113,297.62,3.86
538,surt,0,LY,1660789527,57,31.2089,16.5887,301.33,2.97
539,cabedelo,98,BR,1660789527,76,-6.9811,-34.8339,296.52,7.12
540,adrar,55,MR,1660789527,33,20.5022,-10.0711,306.95,2.24
541,sorong,99,ID,1660789528,87,-0.8833,131.25,298.86,5.28
542,baiyin,100,CN,1660789528,83,36.5583,104.2081,291.06,4.23
543,daru,47,PG,1660789529,63,-9.0763,143.2092,299.42,5.48
544,camacha,40,PT,1660789529,68,33.0833,-16.3333,292.83,7.2
545,fare,100,PF,1660789529,89,-16.7,-151.0167,293.22,3.4
546,artyom,0,AZ,1660789530,62,40.4723,50.333,298.23,7.33
547,kosai,97,JP,1660789530,81,34.7105,137.5316,299.8,3.04
